BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20240923,095570,AJ네트웍스,KOSPI,-,4765,5,0.11,4770,4800,4705,110273,523890675,215629396635,45252759
20240923,006840,AK홀딩스,KOSPI,-,13130,-10,-0.08,13110,13200,13050,3001,39418520,173940475930,13247561
20240923,027410,BGF,KOSPI,-,3550,35,1.00,3520,3550,3505,31014,109602560,339794608050,95716791
20240923,282330,BGF리테일,KOSPI,-,120000,1000,0.84,119500,121800,118600,38990,4695800400,2074068720000,17283906
20240923,138930,BNK금융지주,KOSPI,-,9460,-130,-1.36,9680,9720,9360,1416608,13414285320,3031331437420,320436727
20240923,001460,BYC,KOSPI,-,32550,-1150,-3.41,33750,33750,32550,1130,37180250,203312182500,6246150
20240923,001465,BYC우,KOSPI,-,13070,-60,-0.46,13040,13110,12940,2619,34030770,28150819500,2153850
20240923,001040,CJ,KOSPI,-,122700,-1900,-1.52,125800,126400,121800,41682,5131043800,3580017654600,29176998
20240923,079160,CJ CGV,KOSPI,-,5940,-200,-3.26,6110,6140,5880,994542,5940171960,983544095160,165579814
20240923,00104K,CJ4우(전환),KOSPI,-,90900,-1000,-1.09,91900,91900,89500,11417,1031378000,384189940800,4226512
20240923,000120,CJ대한통운,KOSPI,-,98400,1700,1.76,97500,99300,96400,71386,7018533600,2244734649600,22812344
20240923,011150,CJ씨푸드,KOSPI,-,3375,35,1.05,3365,3490,3335,785741,2688405495,121266358875,35930773
20240923,011155,CJ씨푸드1우,KOSPI,-,18450,-20,-0.11,17910,18450,17910,662,12017150,3690000000,200000
20240923,001045,CJ우,KOSPI,-,60300,-200,-0.33,60900,60900,59800,1215,73066700,136291446900,2260223
20240923,097950,CJ제일제당,KOSPI,-,312500,2000,0.64,312000,313500,308000,19120,5948871500,4704433125000,15054186
20240923,097955,CJ제일제당 우,KOSPI,-,139900,2900,2.12,138000,141900,137000,6756,936227800,185707876700,1327433
20240923,000480,CR홀딩스,KOSPI,-,5720,-40,-0.69,5710,5750,5680,6317,36012260,268213602800,46890490
20240923,000590,CS홀딩스,KOSPI,-,66800,500,0.75,66400,66800,66000,422,27923000,77119397600,1154482
20240923,012030,DB,KOSPI,-,1414,-72,-4.85,1487,1487,1411,1367215,1969758557,284459941262,201173933
20240923,016610,DB금융투자,KOSPI,-,5990,-20,-0.33,5970,6060,5910,160540,958835930,254253870110,42446389
20240923,005830,DB손해보험,KOSPI,-,110800,-800,-0.72,113300,113300,109500,153174,16922388800,7844640000000,70800000
20240923,000990,DB하이텍,KOSPI,-,37950,1800,4.98,36350,38050,36150,305829,11410614350,1684926414600,44398588
20240923,139130,DGB금융지주,KOSPI,-,8210,-120,-1.44,8390,8400,8170,438503,3601959920,1388687288930,169145833
20240923,001530,DI동일,KOSPI,-,36400,100,0.28,36300,36700,34900,224341,8076752800,917850460800,25215672
20240923,000210,DL,KOSPI,-,40500,-950,-2.29,41850,41850,40450,90787,3710322750,848713302000,20955884
20240923,000215,DL우,KOSPI,-,23150,-650,-2.73,24200,24200,23150,9111,211943050,39033562250,1686115
20240923,375500,DL이앤씨,KOSPI,-,29800,50,0.17,29950,30300,29550,198455,5924293650,1153069965400,38693623
20240923,37550L,DL이앤씨2우(전환),KOSPI,-,20650,-150,-0.72,20850,21250,20600,2729,56814850,43611788150,2111951
20240923,37550K,DL이앤씨우,KOSPI,-,15560,-30,-0.19,15780,15780,15350,4237,65476230,32892050600,2113885
20240923,007340,DN오토모티브,KOSPI,-,101200,-1000,-0.98,102100,102700,99300,24409,2453960200,1011393306000,9994005
20240923,004840,DRB동일,KOSPI,-,4650,-50,-1.06,4700,4700,4610,10472,48799065,92674500000,19930000
20240923,155660,DSR,KOSPI,-,3845,-45,-1.16,3880,3880,3825,4919,18941435,61520000000,16000000
20240923,069730,DSR제강,KOSPI,-,3755,-80,-2.09,3835,3860,3755,7822,29767490,54072000000,14400000
20240923,017860,DS단석,KOSPI,-,75400,0,0.00,76100,77400,74200,36144,2745379800,441949861600,5861404
20240923,017940,E1,KOSPI,-,77900,1200,1.56,76500,78700,75700,22884,1779179400,534394000000,6860000
20240923,365550,ESR켄달스퀘어리츠,KOSPI,-,5300,50,0.95,5250,5320,5240,584752,3083175760,1129371700000,213089000
20240923,383220,F&F,KOSPI,-,59300,1300,2.24,58700,60000,57400,49862,2953651400,2271609547500,38307075
20240923,007700,F&F홀딩스,KOSPI,-,13580,90,0.67,13540,13670,13540,8947,121614130,531173103860,39114367
20240923,114090,GKL,KOSPI,-,11500,-50,-0.43,11640,11650,11420,123689,1422137810,711340205000,61855670
20240923,078930,GS,KOSPI,-,44400,-400,-0.89,45300,45300,43900,179171,7916332950,4125442783200,92915378
20240923,006360,GS건설,KOSPI,-,18250,-910,-4.75,19280,19400,18170,689558,12789247430,1561862192500,85581490
20240923,001250,GS글로벌,KOSPI,-,4215,-95,-2.20,4270,4305,4150,6699660,28260079900,347879815260,82533764
20240923,007070,GS리테일,KOSPI,-,21750,-350,-1.58,22300,22300,21700,109062,2379762750,2277614803500,104717922
20240923,078935,GS우,KOSPI,-,42800,-650,-1.50,43350,43350,42350,11998,512566100,76390552800,1784826
20240923,012630,HDC,KOSPI,-,11020,-350,-3.08,11280,11340,10900,202381,2231113380,658353765420,59741721
20240923,039570,HDC랩스,KOSPI,-,8100,-60,-0.74,8060,8160,8010,11420,92231000,210256568100,25957601
20240923,089470,HDC현대EP,KOSPI,-,4360,-50,-1.13,4430,4430,4335,88508,385783720,139084000000,31900000
20240923,294870,HDC현대산업개발,KOSPI,-,22950,-1900,-7.65,24550,24900,22550,1113319,26049201500,1512573223500,65907330
20240923,009540,HD한국조선해양,KOSPI,-,194500,-3800,-1.92,199200,199200,193500,165955,32427521800,13765371062000,70773116
20240923,267250,HD현대,KOSPI,-,80200,-2500,-3.02,82500,83000,80200,124758,10098949800,6335245417000,78993085
20240923,267270,HD현대건설기계,KOSPI,-,47900,-1000,-2.04,48600,48800,47100,202110,9643089050,876837569400,18305586
20240923,443060,HD현대마린솔루션,KOSPI,-,110900,2100,1.93,110700,111700,109600,79469,8796428000,4929505000000,44450000
20240923,071970,HD현대마린엔진,KOSPI,-,19220,520,2.78,18800,19360,18790,405183,7764818500,651891255580,33917339
20240923,010620,HD현대미포,KOSPI,-,105900,0,0.00,106900,108300,105000,164191,17437925900,4229873579100,39942149
20240923,322000,HD현대에너지솔루션,KOSPI,-,25900,-300,-1.15,26100,26300,25600,125940,3267793150,290080000000,11200000
20240923,042670,HD현대인프라코어,KOSPI,-,6900,-70,-1.00,7030,7030,6900,378770,2626955690,1329325482300,192655867
20240923,267260,HD현대일렉트릭,KOSPI,-,326000,-8000,-2.40,328500,334500,317000,318111,102845809000,11751366010000,36047135
20240923,329180,HD현대중공업,KOSPI,-,193400,-1200,-0.62,197900,197900,191500,116632,22590930800,17168720634400,88773116
20240923,097230,HJ중공업,KOSPI,-,2735,60,2.24,2710,2790,2695,70256,192973020,227755158535,83274281
20240923,014790,HL D&I,KOSPI,-,2530,-85,-3.25,2550,2600,2525,41969,106826545,95782260530,37858601
20240923,003580,HLB글로벌,KOSPI,-,5320,0,0.00,5450,5690,5310,285534,1553705620,252644624120,47489591
20240923,204320,HL만도,KOSPI,-,32650,150,0.46,32600,32950,32300,130337,4255987950,1533149968000,46957120
20240923,060980,HL홀딩스,KOSPI,-,36000,200,0.56,35800,36100,35750,14760,531016700,366098760000,10169410
20240923,011200,HMM,KOSPI,-,17730,100,0.57,17730,17870,17470,1046019,18428009000,13280470264080,749039496
20240923,035000,HS애드,KOSPI,-,6400,20,0.31,6390,6400,6350,13972,88944640,106031417600,16567409
20240923,002460,HS화성,KOSPI,-,8630,-50,-0.58,8940,8940,8580,7380,63880080,87594500000,10150000
20240923,487570,HS효성,KOSPI,-,40800,100,0.25,41000,41150,40700,4824,197381550,152017821600,3725927
20240923,003560,IHQ,KOSPI,-,10760,0,0.00,0,0,0,0,0,62107613080,5772083
20240923,175330,JB금융지주,KOSPI,-,14950,-520,-3.36,15520,15520,14900,369166,5569463740,2916493810100,195083198
20240923,234080,JW생명과학,KOSPI,-,11050,-120,-1.07,11180,11220,10950,79388,879574360,174971821700,15834554
20240923,001060,JW중외제약,KOSPI,-,28400,-350,-1.22,28400,28900,28050,159525,4537941000,661320412000,23285930
