BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20240913,095570,AJ네트웍스,KOSPI,-,4570,5,0.11,4565,4595,4530,33305,151779765,206805108630,45252759
20240913,006840,AK홀딩스,KOSPI,-,13170,-30,-0.23,13280,13280,13000,952,12526010,174470378370,13247561
20240913,027410,BGF,KOSPI,-,3500,60,1.74,3440,3500,3425,65630,227619300,335008768500,95716791
20240913,282330,BGF리테일,KOSPI,-,118000,-2500,-2.07,121400,122800,117400,23861,2843008600,2039500908000,17283906
20240913,138930,BNK금융지주,KOSPI,-,9750,280,2.96,9550,9750,9480,850941,8223758660,3124258088250,320436727
20240913,001460,BYC,KOSPI,-,33150,0,0.00,33150,33400,33000,284,9408150,207059872500,6246150
20240913,001465,BYC우,KOSPI,-,13280,200,1.53,13080,13360,13000,1632,21306940,28603128000,2153850
20240913,001040,CJ,KOSPI,-,121500,-2400,-1.94,124800,125000,119400,47492,5752663700,3545005257000,29176998
20240913,079160,CJ CGV,KOSPI,-,6260,-120,-1.88,6380,6440,6220,566751,3563685050,1036529635640,165579814
20240913,00104K,CJ4우(전환),KOSPI,-,90200,-2500,-2.70,91800,92500,88700,12519,1125688000,381231382400,4226512
20240913,000120,CJ대한통운,KOSPI,-,101400,-300,-0.29,102000,102000,100100,41872,4234624200,2313171681600,22812344
20240913,011150,CJ씨푸드,KOSPI,-,3330,-25,-0.75,3380,3425,3295,179265,598019175,119649474090,35930773
20240913,011155,CJ씨푸드1우,KOSPI,-,17410,-10,-0.06,17420,17420,17410,58,1009810,3482000000,200000
20240913,001045,CJ우,KOSPI,-,60200,200,0.33,60500,60500,59800,1180,70790800,136065424600,2260223
20240913,097950,CJ제일제당,KOSPI,-,317000,2500,0.79,317000,320000,314000,17138,5430548500,4772176962000,15054186
20240913,097955,CJ제일제당 우,KOSPI,-,138900,-100,-0.07,139900,139900,138500,3646,507211600,184380443700,1327433
